Unique_ID,Ticker,Company Name,Exchange,Fiscal_Year,Fiscal_Quarter,Quarter_End_Date,Currency,Q_Revenue,Q_R&D,Q_SG&A,Q_Cash,Market_Cap,Is_Historical_Baseline,Reporting_Standard,USD_Converted_Flag,Source,Fetch_Date
CMP-033,UTHR,United Therapeutics Corporation,NASDAQ,2025.0,2025Q1,31/03/2025,USD,794.4,149.0,170.1,1899.9,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-034,GLAXO.NS,GlaxoSmithKline,NSE India,2025.0,2025Q4,31/12/2025,USD,124.95,0.0,36.73,87.02,1.22,,IFRS,True,Browser_IR_Fetch,12/05/2026
CMP-035,LONN.SW,Lonza,SIX Swiss Exchange,2025.0,2025Q4,31/12/2025,USD,1844.95,47.74,122.04,812.47,,True,Non-GAAP,True,Browser_IR_Fetch,12/05/2026
CMP-036,RVMD,Revolution Medicines,NASDAQ,2026.0,2026Q1,31/03/2026,USD,0.0,344.0,101.0,1908.0,30.59,,GAAP,False,Browser_Fix,11/05/2026
CMP-036,RVMD,Revolution Medicines,NASDAQ,2025.0,2025Q4,31/12/2025,USD,,294.94,66.68,383.74,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-036,RVMD,Revolution Medicines,NASDAQ,2025.0,2025Q3,30/09/2025,USD,,262.51,52.76,217.44,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-036,RVMD,Revolution Medicines,NASDAQ,2025.0,2025Q2,30/06/2025,USD,,224.13,40.58,402.44,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-036,RVMD,Revolution Medicines,NASDAQ,2025.0,2025Q1,31/03/2025,USD,,205.75,35.01,333.55,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-037,BNTX,BioNTech,NASDAQ,2026.0,2026Q1,31/03/2026,USD,118.1,557.0,150.8,9939.4,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-037,BNTX,BioNTech,NASDAQ,2025.0,2025Q4,31/12/2025,USD,907.4,505.4,291.7,7675.4,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-037,BNTX,BioNTech,NASDAQ,2025.0,2025Q3,30/09/2025,USD,1518.9,564.8,148.5,10092.9,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-037,BNTX,BioNTech,NASDAQ,2025.0,2025Q2,30/06/2025,USD,260.8,509.1,137.4,10269.5,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-037,BNTX,BioNTech,NASDAQ,2025.0,2025Q1,31/03/2025,USD,182.8,525.6,120.6,10184.9,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-038,ABT,Abbott Laboratories,NYSE,2026.0,2026Q1,31/03/2026,USD,11164.0,767.0,3740.0,6803.0,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-038,ABT,Abbott Laboratories,NYSE,2025.0,2025Q4,31/12/2025,USD,11459.0,735.0,3129.0,8522.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-038,ABT,Abbott Laboratories,NYSE,2025.0,2025Q3,30/09/2025,USD,11369.0,766.0,3051.0,7511.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-038,ABT,Abbott Laboratories,NYSE,2025.0,2025Q2,30/06/2025,USD,11142.0,725.0,3091.0,6951.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-038,ABT,Abbott Laboratories,NYSE,2025.0,2025Q1,31/03/2025,USD,10358.0,716.0,3061.0,6532.0,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-039,CVS,CVS Health Corporation,NYSE,,,,,,,,,,,,,,
CMP-040,NBIX,Neurocrine Biosciences,NASDAQ,,,,,,,,,,,,,,
CMP-041,INCY,Incyte Corporation,NASDAQ,2026.0,2026Q1,31/03/2026,USD,1272.68,515.9,328.1,3461.11,,False,GAAP,False,yfinance_fetch,13/05/2026
CMP-041,INCY,Incyte Corporation,NASDAQ,2025.0,2025Q4,31/12/2025,USD,1506.84,611.37,390.4,3097.82,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-041,INCY,Incyte Corporation,NASDAQ,2025.0,2025Q3,30/09/2025,USD,1365.98,506.58,329.1,2455.01,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-041,INCY,Incyte Corporation,NASDAQ,2025.0,2025Q2,30/06/2025,USD,1215.53,494.92,331.0,1954.97,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-041,INCY,Incyte Corporation,NASDAQ,2025.0,2025Q1,31/03/2025,USD,1052.9,437.28,325.7,1941.72,,True,GAAP,False,yfinance_fetch,13/05/2026
CMP-042,VTRS,Viatris Inc.,NASDAQ,2026.0,2026Q1,31/03/2026,USD,3509.7,248.6,928.8,1804.2,19.35,,GAAP,False,SEC_EDGAR,11/05/2026
